N,K,media,desvio,minimo,maximo,mediana,tempo_segundos
50,2,9213.33,404.99,8466.33,10141.07,9223.21,24.2
50,3,4964.82,570.77,3730.12,6198.22,4944.04,24.0
50,5,6024.47,522.54,4925.12,7607.43,6071.99,23.7
100,2,10517.27,453.20,9649.46,11497.71,10542.12,46.8
100,3,5189.59,1111.44,2905.09,6590.04,5584.13,45.8
100,5,4416.74,315.70,3625.62,4880.99,4504.21,46.7
200,2,10970.58,345.29,10355.49,11596.65,10947.14,255.3
200,3,7558.77,542.47,6376.78,8593.33,7553.87,182.6
200,5,3217.12,295.42,2524.17,3880.43,3208.93,510.2
