Rodada,HC,LRS,GRS
1,1.980742,2.001256,1.996621
2,1.983931,2.000191,1.991552
3,1.993422,2.002074,1.967706
4,1.983366,2.002673,1.978099
5,0.980197,2.002808,1.976346
6,1.965979,2.002391,1.967533
7,2.000337,2.002717,1.983479
8,1.004672,1.999513,2.000896
9,1.934011,1.006278,1.994635
10,1.003658,1.005369,1.991109
11,1.993311,1.006098,1.987003
12,1.005568,2.000192,1.970016
13,1.998316,2.002075,1.990005
14,1.001848,2.002757,1.979988
15,0.991723,2.002867,1.941025
16,0.992306,2.002005,1.981661
17,1.997274,2.002031,1.978911
18,1.003233,2.002023,1.986146
19,1.895861,1.005994,1.980030
20,2.001048,2.001274,1.993977
21,1.995770,2.002597,1.997266
22,1.005906,2.002341,1.971003
23,2.002758,2.002656,1.963989
24,1.984970,1.001734,1.999471
25,1.973100,2.002794,1.990318
26,1.986830,2.002195,1.973439
27,1.974463,2.001771,1.983494
28,1.969484,2.002685,2.001909
29,2.002149,1.006232,1.999787
30,1.997689,2.002517,1.968538
31,1.978525,2.002172,1.986821
32,1.969021,2.003075,1.985345
33,1.961980,1.006005,1.994209
34,1.958668,2.001656,1.912463
35,1.998084,1.006330,1.989424
36,1.980088,2.001750,2.002307
37,1.947836,1.006051,1.999944
38,1.998950,2.002402,1.992336
39,2.000183,1.005878,1.953992
40,1.977449,2.002408,1.997589
41,1.984835,1.005966,1.972968
42,2.002683,2.002708,1.924560
43,1.955862,1.005607,1.975215
44,0.989852,2.002551,1.972154
45,1.962283,2.002685,1.974332
46,1.996917,2.001347,2.002354
47,1.996159,2.001693,1.978144
48,0.997961,2.002334,1.962120
49,1.999343,1.006119,1.972958
50,1.963579,1.003212,1.997826
51,0.989399,1.005281,1.978803
52,0.991528,1.005911,1.999677
53,1.996093,1.997073,2.002795
54,0.978109,2.002949,1.995022
55,1.995754,2.001275,2.000054
56,1.978815,2.000405,1.961938
57,1.961709,2.001232,2.002145
58,1.997204,2.001862,1.993950
59,1.992126,2.002942,1.974771
60,1.997969,2.002022,1.992645
61,1.936535,2.002583,1.988482
62,1.998704,1.006361,1.982380
63,1.913613,1.006183,1.986605
64,1.984191,2.000832,1.964153
65,1.975935,2.003049,1.973621
66,1.974968,1.006132,1.975376
67,1.966316,1.006293,1.959941
68,1.995854,1.005935,2.001794
69,1.989429,2.001451,1.952475
70,0.995174,1.006165,1.944684
71,0.996802,2.002895,2.001717
72,1.996017,1.005359,1.988398
73,1.996347,2.002551,1.956594
74,2.000477,1.999766,1.993638
75,1.991933,2.002549,1.988000
76,1.003955,1.006195,1.953005
77,1.996561,1.005766,1.968825
78,1.980511,1.006142,1.945728
79,1.952892,2.001277,1.978316
80,1.980229,1.006192,1.984571
81,0.977308,1.005725,1.967216
82,1.944138,2.002565,1.981211
83,1.931529,2.002686,2.002136
84,1.979511,2.001914,1.944210
85,1.999211,1.006299,1.982610
86,1.995290,2.002172,1.960303
87,2.002092,2.002593,1.997813
88,1.002209,1.006185,1.988695
89,0.977611,2.002976,1.964908
90,1.965686,1.005956,1.991703
91,0.999001,2.003021,1.971909
92,2.001750,2.003113,1.883917
93,0.984986,2.003085,1.979608
94,1.996454,1.005977,1.973585
95,1.005593,2.002810,1.984817
96,0.996241,2.002945,1.993337
97,1.967777,1.999599,2.000537
98,0.999370,1.006201,2.000945
99,2.000391,1.006343,1.970197
100,1.993422,1.999095,1.997773
