Rodada,HC,LRS,GRS
1,5.112939,1.880492,1.309294
2,0.108177,0.443347,0.649914
3,0.773069,4.366482,0.563658
4,0.034353,0.410397,3.701715
5,2.115917,1.357159,3.173906
6,0.348802,0.267637,3.139409
7,2.295140,4.172725,1.523084
8,1.421260,5.131235,2.117068
9,0.145236,2.188080,1.543408
10,2.661460,0.326978,1.956952
11,1.178178,5.701398,2.063179
12,2.181389,1.338618,2.720378
13,0.028109,0.782809,1.222771
14,1.508784,1.003885,4.150942
15,0.283309,1.320382,2.663335
16,1.425395,0.272010,2.228348
17,2.135487,4.519316,1.268169
18,9.620709,2.308293,2.136363
19,0.684725,0.984013,1.973449
20,4.914962,6.151208,1.345437
21,0.919200,1.162045,1.446007
22,0.614956,1.132678,0.212598
23,2.181507,1.337431,1.166713
24,2.150636,5.996954,2.067304
25,0.267874,2.079889,1.102389
26,3.355778,1.040607,0.307285
27,1.210386,1.875425,3.046128
28,0.244277,2.365079,1.123205
29,3.064400,2.578579,2.426615
30,0.078130,2.310622,1.816984
31,2.228037,2.986538,1.955920
32,0.288566,2.216451,0.128308
33,1.555227,0.500182,2.118346
34,0.425221,0.847150,1.133254
35,2.333682,6.868129,1.348993
36,1.304297,1.234234,2.316636
37,2.954501,2.272566,0.997968
38,4.817026,1.109962,2.812348
39,3.441273,1.390588,1.625908
40,1.356439,0.522882,2.509864
41,0.706623,3.632180,1.069427
42,2.161745,1.918786,0.807734
43,1.027076,2.038785,1.338004
44,0.468377,5.983865,1.595705
45,4.141774,2.422731,0.985283
46,1.030554,1.869629,2.657757
47,2.361100,0.374235,2.113229
48,0.273660,0.069833,1.674563
49,4.065064,0.635557,1.551893
50,2.243489,0.121174,3.038769
51,0.996136,0.995870,4.137487
52,0.014802,1.214396,0.555010
53,0.038888,0.058009,1.065401
54,1.541750,0.282162,2.569035
55,1.352354,1.156778,1.621210
56,0.997086,0.048951,2.851988
57,1.971735,2.712813,1.566339
58,1.498280,1.531205,1.028080
59,1.685556,1.732959,2.073767
60,0.170497,1.396364,2.381952
61,1.102174,1.157646,2.877043
62,5.933249,4.151204,2.053299
63,2.585740,2.306563,3.145706
64,1.458079,1.439985,1.231731
65,2.247909,5.913238,0.122672
66,2.903607,5.319235,2.952063
67,0.427780,4.047716,1.266559
68,5.801241,1.510548,0.533854
69,1.412379,1.158010,2.305691
70,0.818887,4.190348,1.459467
71,0.124467,7.012186,1.016003
72,1.821060,5.446778,0.713515
73,2.585752,2.400708,1.999803
74,1.233121,1.158046,1.471295
75,1.285986,4.456028,1.074664
76,1.395545,1.128031,1.948051
77,4.918003,0.935743,2.061886
78,1.888374,0.207110,1.484720
79,0.515037,6.797985,1.168508
80,9.910939,2.356919,0.284631
81,0.167571,2.112931,2.200294
82,1.223038,1.164203,1.173772
83,1.855575,1.230747,1.999825
84,1.502114,0.068830,2.773220
85,1.043354,0.742436,2.367825
86,0.487967,5.000008,0.492479
87,0.998705,0.530143,3.052001
88,2.517431,1.012425,2.636636
89,1.336465,2.931862,3.268074
90,1.999034,1.605059,3.499745
91,1.913662,1.684300,3.906872
92,1.444787,1.205291,3.193412
93,1.126923,0.615745,1.307355
94,6.125709,3.473370,1.098277
95,1.361151,4.700501,1.775134
96,28.475747,1.129261,2.481626
97,1.612372,0.767760,3.178759
98,1.002379,3.832633,2.094519
99,1.048373,1.338617,1.440252
100,3.642046,2.280147,2.823660
