Rodada,HC,LRS,GRS
1,1.436847,0.531279,1.603511
2,1.437013,0.976437,1.972523
3,1.436989,1.437016,1.631143
4,1.436992,1.436877,1.799916
5,1.436938,0.976464,1.712768
6,1.437002,1.436778,1.711640
7,1.437006,0.531565,1.953982
8,1.436985,0.976438,1.842730
9,1.436867,0.975178,1.727910
10,1.437004,0.531568,1.405982
11,1.436985,1.437016,1.569513
12,1.436988,0.976399,1.968281
13,1.437008,0.976465,1.972753
14,1.436955,0.531444,1.899251
15,1.437005,0.976465,1.765085
16,1.436971,0.531530,1.940604
17,1.436991,1.437011,1.666732
18,1.436989,0.531541,1.988530
19,1.436995,0.531538,1.714286
20,1.436991,0.976404,1.679031
21,1.436955,1.436503,1.751195
22,1.437003,0.531324,1.480921
23,1.436985,1.437011,1.989241
24,1.437005,0.976402,1.881624
25,1.436987,1.433551,1.790197
26,1.436990,1.972839,1.424694
27,1.437000,1.995963,1.866107
28,1.436957,0.976462,1.532237
29,1.437015,1.960082,1.558045
30,1.436962,1.946717,1.966831
31,1.436959,1.437016,1.924737
32,1.436986,1.978033,1.791462
33,1.436991,0.531503,1.583485
34,1.437007,0.531568,1.999741
35,1.436974,0.976354,1.821029
36,1.436953,0.531568,1.501223
37,1.436868,0.976312,1.963011
38,1.436912,1.994900,1.833318
39,1.436988,0.976446,1.632261
40,1.436990,0.531555,1.991872
41,1.436985,0.976441,1.625944
42,1.437006,0.531555,1.621619
43,1.436974,0.976441,1.819070
44,1.436968,0.976419,1.403621
45,1.436986,0.531545,1.977941
46,1.436988,1.436983,1.558287
47,1.436859,0.531535,1.928115
48,1.436993,0.976464,1.736988
49,1.437002,0.976464,1.599046
50,1.437005,0.531564,1.910834
51,1.436988,0.976464,1.805670
52,1.436988,1.941954,1.703999
53,1.436937,0.976280,1.825917
54,1.436985,0.976406,1.543145
55,1.437006,0.531525,1.810597
56,1.436960,0.976416,1.911292
57,1.437005,0.976459,1.987457
58,1.436980,0.531566,1.912519
59,1.436963,1.974756,1.597660
60,1.436970,0.531511,1.874710
61,1.436933,1.986404,1.884976
62,1.436996,0.531563,1.679696
63,1.436984,0.531549,1.634461
64,1.436973,0.976205,1.898883
65,1.437002,0.976464,1.946394
66,1.436999,0.976247,1.627651
67,1.436993,0.976411,1.830794
68,1.437000,0.531564,1.818379
69,1.437004,0.976465,1.972817
70,1.437003,1.436988,1.960732
71,1.436961,0.531540,1.857832
72,1.436997,0.976464,1.744552
73,1.436998,0.976335,1.923695
74,1.437008,1.939618,1.951292
75,1.437000,0.976463,1.908460
76,1.437010,0.976456,1.806736
77,1.437012,1.437016,1.620052
78,1.436971,0.976431,1.688516
79,1.436994,0.976425,1.756644
80,1.436981,0.531511,1.681787
81,1.436968,0.976415,1.983015
82,1.436991,1.967754,1.910813
83,1.436992,1.436891,1.696001
84,1.436993,0.976463,1.840403
85,1.437004,0.976312,1.576366
86,1.436991,0.531551,1.780118
87,1.437004,1.980834,1.840312
88,1.436955,0.976457,1.768706
89,1.436991,0.976460,1.904962
90,1.437001,0.976446,1.948892
91,1.437002,0.531566,1.974742
92,1.437004,1.437014,1.739405
93,1.436963,0.531561,1.669484
94,1.436967,0.976132,1.827951
95,1.437003,0.531556,1.834625
96,1.437008,1.436740,1.896610
97,1.436993,1.436971,1.962134
98,1.436999,0.976403,1.998855
99,1.436998,0.976459,1.940761
100,1.436948,1.987686,1.937310
