Rodada,HC,LRS,GRS
1,0.000683,0.000915,1.574816
2,0.002262,0.001881,1.673146
3,0.023535,0.000704,12.395990
4,0.003796,0.002409,27.330494
5,0.004429,0.000605,2.160776
6,0.034065,0.001431,2.086687
7,0.002439,0.001506,3.442526
8,0.008875,0.000757,12.841619
9,0.000777,0.000080,11.254980
10,0.006741,0.000251,21.525716
11,0.027186,0.003112,6.961383
12,0.001210,0.002013,2.604854
13,0.003132,0.001210,1.456757
14,0.047253,0.001583,0.566847
15,0.012004,0.000207,30.610621
16,0.002147,0.002030,15.021753
17,0.010102,0.000463,16.128174
18,0.009997,0.001251,5.406988
19,0.010819,0.000765,8.204174
20,0.013836,0.000100,0.337048
21,0.013555,0.000183,7.259374
22,0.000265,0.001664,10.630685
23,0.013994,0.001182,14.644574
24,0.012656,0.003025,8.100061
25,0.001072,0.000088,11.595514
26,0.013734,0.000360,10.209873
27,0.002856,0.001253,1.191316
28,0.001577,0.007325,20.953879
29,0.000639,0.004907,1.210259
30,0.038760,0.002406,31.362162
31,0.002851,0.000552,7.963888
32,0.004611,0.001239,3.335295
33,0.000851,0.000998,2.257377
34,0.014806,0.003987,0.270265
35,0.016055,0.000654,12.059120
36,0.015387,0.007534,11.973458
37,0.004534,0.004101,14.622906
38,0.025925,0.000253,12.810762
39,0.011239,0.005508,0.308067
40,0.019214,0.003241,50.646613
41,0.008298,0.000571,20.168763
42,0.002070,0.002373,5.207036
43,0.025280,0.005703,19.329882
44,0.002728,0.006514,5.316465
45,0.002355,0.000403,11.502635
46,0.004016,0.000406,11.386689
47,0.001778,0.000112,0.128576
48,0.008007,0.005289,2.358097
49,0.006765,0.000720,20.179379
50,0.000601,0.000252,5.678098
51,0.002608,0.000151,7.877526
52,0.001010,0.000757,19.317497
53,0.000836,0.004795,11.342234
54,0.001049,0.000232,20.258859
55,0.003493,0.002065,20.233945
56,0.012149,0.000172,7.491040
57,0.004141,0.000148,22.450493
58,0.000139,0.000720,3.517108
59,0.001162,0.000063,40.102149
60,0.002364,0.000460,4.843218
61,0.003837,0.004973,1.589545
62,0.017896,0.003344,0.610400
63,0.000034,0.000443,0.839544
64,0.002415,0.003048,3.177804
65,0.010973,0.003086,25.666592
66,0.010200,0.000529,22.119876
67,0.004632,0.000083,19.103285
68,0.004161,0.000230,3.282120
69,0.005692,0.000150,13.489341
70,0.001071,0.001074,6.685741
71,0.002358,0.001736,15.874507
72,0.008908,0.000027,13.449894
73,0.004250,0.000132,8.419977
74,0.003124,0.000738,5.721486
75,0.016606,0.000853,5.896162
76,0.000631,0.000335,3.044699
77,0.027022,0.010757,16.934416
78,0.016349,0.000027,28.918635
79,0.000388,0.003092,7.747843
80,0.003828,0.000988,18.650215
81,0.000797,0.003946,7.659736
82,0.002810,0.001280,0.302937
83,0.004232,0.002546,21.647827
84,0.011810,0.000353,8.399541
85,0.013415,0.001971,2.341779
86,0.002128,0.001171,11.213247
87,0.000515,0.000310,13.933928
88,0.001073,0.000497,15.158110
89,0.006185,0.000621,5.564341
90,0.013810,0.000453,9.791129
91,0.006634,0.008248,1.151243
92,0.015235,0.000313,0.285912
93,0.001945,0.000650,5.739251
94,0.012423,0.002471,1.224070
95,0.018601,0.000858,6.161249
96,0.022552,0.000461,6.295852
97,0.001470,0.000583,16.467612
98,0.001260,0.001297,6.748032
99,0.004060,0.001580,4.172401
100,0.014323,0.001377,4.342419
