sigma,T0,media,desvio,minimo,maximo,mediana,taxa_aceitacao_media,taxa_convergencia,tempo_segundos
0.05,100.0,222.249,42.969,155.686,326.881,215.540,0.210,0.000,34.2
0.05,500.0,223.874,32.969,154.709,286.272,228.795,0.367,0.000,25.2
0.05,1000.0,232.498,31.379,183.049,308.590,228.169,0.435,0.000,25.2
