sigma_inicial,alpha_sigma,sigma_final_esperado,media,desvio,minimo,maximo,mediana,taxa_convergencia,tempo_segundos
0.5,0.999,0.000023,208.808,38.611,133.324,282.567,196.504,0.000,72.5
0.5,0.9995,0.003365,128.060,31.572,77.613,234.814,122.388,0.000,72.2
0.5,0.9999,0.183931,88.550,12.692,57.976,115.396,88.152,0.000,72.4
1.0,0.999,0.000045,103.840,21.422,68.652,149.243,100.491,0.000,72.2
1.0,0.9995,0.006730,72.637,13.004,51.765,94.552,76.156,0.000,72.2
1.0,0.9999,0.367861,163.503,23.703,117.870,206.705,164.961,0.000,72.4
2.0,0.999,0.000090,92.597,16.593,56.713,136.309,91.536,0.000,72.2
2.0,0.9995,0.013459,80.505,19.757,42.997,128.474,78.750,0.000,72.3
2.0,0.9999,0.735722,228.029,41.567,158.475,335.779,217.644,0.000,72.5
