N,sigma_mut,max_gen,media,desvio,minimo,maximo,mediana,taxa_convergencia,tempo_segundos
10,0.1,10000,262.531,46.296,191.504,378.147,253.747,0.000,68.1
10,0.2,10000,149.391,20.792,101.390,205.223,150.342,0.000,68.9
10,0.3,10000,119.860,15.757,90.741,153.945,120.496,0.000,68.7
20,0.1,5000,195.626,30.204,145.027,283.412,195.951,0.000,66.0
20,0.2,5000,134.021,23.459,91.960,177.493,134.862,0.000,66.1
20,0.3,5000,145.049,22.482,105.737,198.814,142.320,0.000,66.1
30,0.1,3333,167.607,29.443,113.326,239.102,173.139,0.000,65.0
30,0.2,3333,143.667,24.461,91.531,200.035,146.589,0.000,65.0
30,0.3,3333,185.620,30.549,119.902,254.751,189.860,0.000,65.1
